username,repo_name,stars,repo_url
ovity,octotree,21870,https://github.com/ovity/octotree
gitpod-io,gitpod,7355,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,4823,https://github.com/reviewdog/reviewdog
danger,danger,4756,https://github.com/danger/danger
danger,danger-js,4240,https://github.com/danger/danger-js
joho,awesome-code-review,3318,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,1922,https://github.com/ajinabraham/nodejsscan
houndci,hound,1904,https://github.com/houndci/hound
mbj,mutant,1812,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1810,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1528,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1099,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1083,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1016,https://github.com/code-review-checklists/java-concurrency
Tencent,CodeAnalysis,1016,https://github.com/Tencent/CodeAnalysis
jiangsir404,Audit-Learning,828,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,753,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,629,https://github.com/enlightn/enlightn
palantir,policy-bot,462,https://github.com/palantir/policy-bot
bsamseth,cpp-project,452,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,433,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,415,https://github.com/mookid/diffr
mgreiler,code-review-checklist,401,https://github.com/mgreiler/code-review-checklist
JetBrains,Qodana,347,https://github.com/JetBrains/Qodana
dpnishant,raptor,329,https://github.com/dpnishant/raptor
sjparkinson,static-review,325,https://github.com/sjparkinson/static-review
wandersoncferreira,code-review,296,https://github.com/wandersoncferreira/code-review
burrito-brothers,shiba,289,https://github.com/burrito-brothers/shiba
charignon,github-review,277,https://github.com/charignon/github-review
